"","StartDate","EndDate","condition","LibCon","WhtDis_comp","LibID","LibDis_comp"
"217","4/17/2019 13:26:53","4/17/2019 13:31:32","Actual threat",8,3.66666666666667,5,2.83333333333333
"218","4/17/2019 12:40:15","4/17/2019 12:46:42","Actual threat",7,3.33333333333333,5.75,2.40277777777778
"219","4/17/2019 12:38:03","4/17/2019 12:44:33","Actual threat",3,3.58333333333333,2.5,5.13888888888889
"220","4/17/2019 12:31:18","4/17/2019 12:35:56","Actual threat",4,2.55555555555556,2.5,4.83333333333333
"221","4/17/2019 14:13:00","4/17/2019 14:22:43","Actual threat",8,4.84722222222222,4,4.38888888888889
"222","4/17/2019 12:32:09","4/17/2019 12:37:11","Actual threat",6,3.77777777777778,3.5,4.16666666666667
"223","4/17/2019 12:24:49","4/17/2019 12:35:21","Actual threat",7,1.47222222222222,6,1.88888888888889
"224","4/17/2019 12:28:45","4/17/2019 12:36:57","Actual threat",6,4.25,5,2.66666666666667
"225","4/17/2019 12:21:50","4/17/2019 12:26:14","Actual threat",4,2.375,3.5,4.30555555555556
"226","4/17/2019 12:23:13","4/17/2019 12:28:35","Actual threat",5,4.73611111111111,4.25,3.13888888888889
"227","4/17/2019 12:47:38","4/17/2019 12:53:54","Actual threat",4,2.93055555555556,1,6.38888888888889
"228","4/17/2019 12:34:54","4/17/2019 12:40:35","Actual threat",8,3.19444444444444,4,3.44444444444444
"229","4/17/2019 15:02:15","4/17/2019 15:11:05","Actual threat",5,5.06944444444444,2.75,4.79166666666667
"230","4/17/2019 12:44:31","4/17/2019 12:53:34","Actual threat",2,1.51388888888889,3,5.16666666666667
"231","4/17/2019 13:05:56","4/17/2019 13:13:35","Actual threat",6,3.88888888888889,5,2.83333333333333
"232","4/17/2019 12:25:06","4/17/2019 12:35:48","Actual threat",8,4.44444444444444,5.5,2.19444444444444
"233","4/17/2019 12:37:27","4/17/2019 12:44:08","Actual threat",6,4.04166666666667,5.5,2.08333333333333
"234","4/17/2019 13:06:45","4/17/2019 13:13:35","Actual threat",8,5.77777777777778,3.5,4.38888888888889
