"","LibCon","condition","PolicySupport","IndivAction","TrumpProto","WhtDis_comp"
"421",3,"Actual threat",3.25,5.4,4.33333333333333,2.77083333333333
"422",5,"Actual threat",2,2.8,1,2.625
"423",7,"Actual threat",6.75,5.8,4.33333333333333,4.66666666666667
"424",4,"Actual threat",2,3.2,3.33333333333333,2.20833333333333
"425",4,"Actual threat",2.125,1,4.33333333333333,4.33333333333333
"426",3,"Actual threat",2.5,2.2,4.33333333333333,1.85416666666667
"427",5,"Actual threat",3.25,4.8,3,2.41666666666667
"428",6,"Actual threat",3.5,3.4,1,2.91666666666667
"429",5,"Actual threat",6,6.6,1,4.79166666666667
"430",8,"Actual threat",6,6.4,2,5.125
"431",7,"Actual threat",4.75,5.6,1.33333333333333,3.75
"432",7,"Actual threat",5.5,7,2.33333333333333,5
"433",1,"Actual threat",1,2.8,7,1
"434",3,"Actual threat",1.25,4.5,4,2.58333333333333
"435",2,"Actual threat",2.125,3.2,5.66666666666667,3.04166666666667
"436",3,"Actual threat",3.625,2.8,4.66666666666667,4.04166666666667
"437",3,"Actual threat",3.75,6,1.66666666666667,2.5
"438",5,"Actual threat",6.5,6.8,2,2.66666666666667
"439",5,"Actual threat",4.75,2.2,3.33333333333333,1.91666666666667
"440",6,"Actual threat",5.875,5.8,1,3.125
"441",7,"Actual threat",4.75,3,1,3.625
"442",2,"Actual threat",5.33333333333333,5.6,2,4.25
"443",2,"Actual threat",2.75,5,6.66666666666667,2.25
"444",2,"Actual threat",3.79166666666667,3.8,2.66666666666667,3.29166666666667
"445",5,"Actual threat",3,4,3.5,2
"446",6,"Actual threat",4.16666666666667,5,3.5,1.70833333333333
"447",5,"Actual threat",4.16666666666667,4.25,2.33333333333333,4.125
"448",2,"Actual threat",3,3.8,2.66666666666667,2.11111111111111
"449",4,"Actual threat",1.75,5.2,4,1.75
"450",5,"Actual threat",4,5,5.33333333333333,2.75
"451",7,"Actual threat",6,4.25,2.33333333333333,5.08333333333333
"452",6,"Actual threat",5.75,4.4,1.66666666666667,5.125
"453",7,"Actual threat",5.875,5.8,1.66666666666667,4.44444444444444
"454",8,"Actual threat",6.25,6.8,1,5.22916666666667
"455",4,"Actual threat",2.875,5.6,1,2.04166666666667
"456",4,"Actual threat",1,2.2,4,1
"457",3,"Actual threat",2.125,3.5,4,2.83333333333333
"458",7,"Actual threat",2.83333333333333,6,1.33333333333333,2.35416666666667
"459",8,"Actual threat",7,6.6,1,2.04166666666667
"460",5,"Actual threat",5.125,3.8,2,3.16666666666667
"461",8,"Actual threat",6.75,6.5,2.33333333333333,4.41666666666667
"462",5,"Actual threat",4.79166666666667,7,1,4.58333333333333
"463",7,"Actual threat",5.66666666666667,3.4,3,3.375
"464",3,"Actual threat",1,5.8,3.5,2.04166666666667
"465",3,"Actual threat",2.25,2.6,5,3.77083333333333
"466",3,"Actual threat",2.625,2.4,5.33333333333333,1.85416666666667
"467",8,"Actual threat",2.125,5.2,1,4.625
"468",7,"Actual threat",6.25,5.2,1.33333333333333,4.52083333333333
"469",5,"Actual threat",3,3,1,3.54166666666667
"470",6,"Actual threat",3.83333333333333,3,1.66666666666667,3.41666666666667
"471",8,"Actual threat",5.25,4.8,4,6.10416666666667
"472",2,"Actual threat",3.375,5,3,2.0625
"473",4,"Actual threat",4.25,5.2,2.66666666666667,2.33333333333333
"474",3,"Actual threat",1.375,4.6,2,5.25
"475",2,"Actual threat",3.5,5.2,1.66666666666667,2.75
"476",5,"Actual threat",2,3,2,1.5625
"477",8,"Actual threat",7,6.6,1,3.5
"478",5,"Actual threat",4.125,6.4,1.66666666666667,4.04166666666667
"479",7,"Actual threat",5,3.8,1.33333333333333,1.75
"480",4,"Actual threat",2.25,2.75,2.33333333333333,3.55555555555556
"481",3,"Actual threat",2.875,2.4,2.66666666666667,2.75
"482",6,"Actual threat",4.16666666666667,3.75,2,2.375
"483",6,"Actual threat",1.625,5.2,2,2.14583333333333
"484",7,"Actual threat",5.625,6.2,1.66666666666667,2.6875
"485",7,"Actual threat",5.5,6,1.66666666666667,5.29166666666667
